frame,theta,omega,tau_th,tau_em,tau_fr,tau_load,tau_net,T_core,T_ch0,T_ch1,T_ch2,T_ch3,T_ch4,T_ch5,KE,E_th,E_em,E_load
57,2.7168,26.3987,0.000,12.000,28.404,4.112,-20.516,422.87,204.49,199.02,197.58,208.34,206.99,205.85,278.76,208768.26,1841.80,2697.25
58,3.7779,25.4028,0.000,12.000,26.320,4.032,-18.352,421.69,207.74,202.37,200.95,199.45,210.20,209.07,258.12,208768.26,1854.53,2701.57
59,5.1630,54.2454,0.000,12.000,118.787,6.340,-113.127,420.53,210.91,205.64,204.24,202.77,201.22,212.22,1177.03,209818.32,1865.63,2708.49
60,2.3247,88.7448,0.000,12.000,316.800,9.100,-313.900,419.36,201.90,196.73,195.31,206.01,204.49,203.25,3150.25,212881.52,1893.71,2738.79
61,5.6613,75.1194,0.000,12.000,227.219,8.010,-223.229,418.18,205.14,200.06,198.66,197.19,195.63,194.35,2257.17,212881.52,1933.75,2767.32
62,2.2397,65.2000,0.000,12.000,171.346,7.216,-166.562,417.00,196.33,191.32,189.88,200.49,198.96,197.70,1700.42,212881.52,1968.09,2789.11
63,4.7482,57.6688,0.000,12.000,134.181,6.614,-128.794,415.81,199.63,194.71,193.29,191.78,190.20,200.98,1330.27,212881.52,1998.19,2806.45
64,0.7008,51.7665,0.000,12.000,108.226,6.141,-102.368,414.63,190.85,198.02,196.63,195.15,193.59,192.28,1071.91,212881.52,2025.02,2820.71
65,2.7203,47.0252,0.000,12.000,89.395,5.762,-83.157,413.46,194.21,201.25,199.88,198.43,196.90,195.61,884.55,212881.52,2049.25,2832.74
66,4.6703,51.1532,1946.982,0.000,105.689,6.092,1835.200,412.33,197.49,204.41,203.06,201.63,200.13,198.87,1046.66,213219.44,2069.70,2844.05
67,1.0536,72.4422,0.000,12.000,211.363,7.795,-207.159,411.22,200.69,195.32,206.17,204.76,203.29,202.04,2099.15,214768.51,2091.58,2863.34
68,3.8205,63.1938,0.000,12.000,161.002,7.056,-156.058,410.12,203.82,198.55,197.17,195.71,206.37,205.15,1597.38,214768.51,2124.78,2883.89
69,6.2567,56.1123,0.000,12.000,127.066,6.489,-121.555,409.02,206.87,201.69,200.34,198.91,197.41,196.11,1259.44,214768.51,2154.01,2900.39
70,2.1526,50.5263,0.000,12.000,103.127,6.042,-97.169,407.92,197.91,192.78,191.35,202.03,200.56,199.29,1021.16,214768.51,2180.16,2914.04
71,4.1263,46.0156,0.000,12.000,85.618,5.681,-79.299,406.82,201.03,196.00,194.59,193.09,203.63,202.39,846.97,214768.51,2203.85,2925.62
72,5.9326,42.3040,0.000,12.000,72.431,5.384,-65.816,405.72,204.08,199.14,197.76,196.28,194.74,193.39,715.85,214768.51,2225.52,2935.61
73,1.3169,39.2025,0.000,12.000,62.257,5.136,-55.394,404.64,195.11,190.17,200.85,199.40,197.89,196.55,614.73,214768.51,2245.53,2944.38
